% # columns="iteration, evaluation, sigma, axis ratio, bestever, best, median, worst objective function value, interquartile range, further/more values", seed=854797, Sun Feb 16 19:12:32 2025, <python>{}</python>
191 1910 0.01732757587212509 358.7483667853462 1216367.4830332778 1.2163680242808626e+06 1216369.170470662 1216373.3653519829 3.938537096371874   
192 1920 0.016059380067839232 377.281490199343 1216367.4830332778 1.2163681462244070e+06 1216370.4385105765 1216373.3585513588 3.0891751227900386   
193 1930 0.01431259175555466 379.8275242849175 1216367.2963613216 1.2163672963613216e+06 1216370.99097385 1216376.6284690464 5.585942697245628   
194 1940 0.012405830811855282 396.8158427398516 1216366.428154951 1.2163664281549510e+06 1216369.4720570922 1216370.636599371 1.6126010636799037   
195 1950 0.011772240478027664 398.4652812613073 1216366.1953410034 1.2163661953410034e+06 1216367.294326989 1216368.6719758187 1.4018849052954465   
196 1960 0.011487590051832933 428.7737449481536 1216366.1953410034 1.2163664438792097e+06 1216367.2970098318 1216367.5389000878 0.7972118323668838   
197 1970 0.01156129342313601 452.62243811089485 1216365.6842837806 1.2163656842837806e+06 1216367.1969028092 1216369.597492036 1.6357730473391712   
198 1980 0.011061862289509157 435.5056795352018 1216365.4685930174 1.2163654685930174e+06 1216366.7826948783 1216368.532993773 1.0617277207784355   
199 1990 0.010888741694329731 425.5415231285674 1216364.612349165 1.2163646123491649e+06 1216366.203691128 1216368.8393565007 0.9108565808273852   
200 2000 0.010519275335086063 412.7021162971837 1216364.535967636 1.2163645359676359e+06 1216365.9312980296 1216368.3618513814 2.1270899144001305   
201 2010 0.013338820189370108 402.6015503330071 1216363.3580243099 1.2163633580243099e+06 1216365.0604953447 1216366.2142785 1.3718296156730503   
202 2020 0.016495372100382547 401.6669660013085 1216362.9217092765 1.2163629217092765e+06 1216364.377873911 1216367.016128583 1.1217253042850643   
203 2030 0.018829229014498725 376.92322529559766 1216362.5654564148 1.2163625654564148e+06 1216364.100795604 1216367.6494515114 0.833236614940688   
204 2040 0.01906458257624236 384.49880160521195 1216362.5654564148 1.2163628390659469e+06 1216364.7478489175 1216366.5425999984 1.7879515727981925   
205 2050 0.019052657181638226 395.5448615674251 1216362.5654564148 1.2163631684819313e+06 1216364.5659024748 1216366.2578175836 2.077973802573979   
206 2060 0.02008166453953416 407.5976612915396 1216360.592518235 1.2163605925182351e+06 1216366.174817252 1216367.6556500904 3.2954949820414186   
207 2070 0.022380195329893132 415.1247499853076 1216360.592518235 1.2163614394379458e+06 1216362.5414537773 1216367.182611453 3.7252433395478874   
208 2080 0.024432871373103675 423.48646799392236 1216359.491012718 1.2163594910127181e+06 1216363.8543588845 1216366.4138176513 2.519258941989392   
209 2090 0.024454747258293337 419.95062132322244 1216358.5250666966 1.2163585250666966e+06 1216363.7891026349 1216372.4837384056 3.0004116625059396   
210 2100 0.02326548220194288 421.4083061540381 1216358.5250666966 1.2163594202869805e+06 1216364.33471068 1216365.4907239396 3.2152700209990144   
211 2110 0.02461498145722734 427.84586182311824 1216358.5250666966 1.2163587436612211e+06 1216361.2692749614 1216366.7426446218 3.971161551773548   
212 2120 0.02467723348367249 464.0840290767257 1216358.5250666966 1.2163591005371825e+06 1216363.216686383 1216367.2134605113 5.133243569172919   
213 2130 0.02319707510360969 473.5569086574562 1216358.5250666966 1.2163587176865013e+06 1216362.7076404563 1216365.0757481395 4.135674892459065   
214 2140 0.02196693631287168 475.47051653502075 1216357.1493158354 1.2163571493158354e+06 1216361.3939871108 1216365.3704347666 2.117763933725655   
215 2150 0.02180226730234001 477.9023596450893 1216355.829246905 1.2163558292469049e+06 1216359.2382174188 1216364.5564513518 4.181825006380677   
216 2160 0.022358402964500305 483.42626919706 1216355.829246905 1.2163567301783874e+06 1216358.6313222186 1216364.0236665518 4.555688810069114   
217 2170 0.021860679740124535 475.5060108449554 1216353.8304947491 1.2163538304947491e+06 1216358.5127396137 1216362.9190440506 3.2838310946244746   
218 2180 0.022668712763869833 469.16842645707703 1216353.8304947491 1.2163548801635688e+06 1216357.3504271226 1216358.9776607435 2.321876773610711   
219 2190 0.02170471132362256 461.55766061966887 1216352.3932562652 1.2163523932562652e+06 1216357.4887173632 1216360.3580957602 2.5779375166166574   
220 2200 0.022875429699556103 458.2837289239172 1216351.0580040454 1.2163510580040454e+06 1216356.1221861285 1216358.7496676946 1.573643259005621   
221 2210 0.023764799904278426 473.91288617666766 1216351.0580040454 1.2163515198809896e+06 1216353.831898354 1216365.3251898638 6.281762199243531   
222 2220 0.02725805805025972 501.78464115435344 1216349.808138157 1.2163498081381570e+06 1216353.5180884209 1216359.1029135596 2.11438368097879   
223 2230 0.031087701352910696 564.3270015930614 1216349.274258695 1.2163492742586951e+06 1216353.4712944306 1216361.0207936482 2.8887239464093   
224 2240 0.03447653390110379 591.6686662226188 1216348.2048038275 1.2163482048038275e+06 1216350.6464302016 1216355.7828422824 1.7251713823061436   
225 2250 0.036208458583056796 614.3915045307757 1216346.0693026832 1.2163460693026832e+06 1216353.205411721 1216358.0627353773 4.074806360993534   
226 2260 0.035257001999420425 656.6049553333689 1216345.408538598 1.2163454085385981e+06 1216350.167567302 1216363.2151116803 3.98013156442903   
227 2270 0.03691076011364126 650.2724374841137 1216342.340608936 1.2163423406089360e+06 1216350.497145587 1216361.490399317 4.637537180213258   
228 2280 0.04246983237646119 663.9631709538971 1216339.9514546397 1.2163399514546397e+06 1216346.480424355 1216354.4129072789 9.572695465292782   
229 2290 0.049552608777379284 750.6063880978207 1216331.2890430538 1.2163312890430538e+06 1216345.1010548722 1216356.3864813077 9.525465746875852   
230 2300 0.05019746031048287 789.5896596502985 1216331.2890430538 1.2163346846773883e+06 1216344.2387363703 1216359.9787661005 8.814786970149726   
231 2310 0.04918928873263602 763.1895647525383 1216331.2890430538 1.2163351844055939e+06 1216344.3401088153 1216352.3775915587 8.760759602067992   
232 2320 0.05099613188959687 759.2105570834854 1216331.2890430538 1.2163400234098614e+06 1216345.1984144624 1216357.9918924074 4.818883215310052   
233 2330 0.047928984521191376 763.4099791173477 1216331.2890430538 1.2163332319582768e+06 1216344.648185751 1216371.6328181848 10.166227265028283   
234 2340 0.04733528979235011 778.6372682316603 1216331.2890430538 1.2163326202314270e+06 1216340.8746526295 1216354.377711466 10.148378822486848   
235 2350 0.049730599627234945 780.6238138230816 1216330.9634986618 1.2163309634986618e+06 1216335.7306013082 1216350.8072181467 4.721355790039524   
236 2360 0.052065457858473496 824.0186572945676 1216329.2170778853 1.2163292170778853e+06 1216341.0326381808 1216348.812968914 7.953906129812822   
237 2370 0.05456717423608759 825.6350169663373 1216329.2170778853 1.2163326164750517e+06 1216341.2178441684 1216367.4904423773 16.726538787595928   
238 2380 0.053588831820274324 827.2317041885719 1216326.2940579536 1.2163262940579536e+06 1216340.3555783783 1216354.5569396382 21.92957834736444   
239 2390 0.05493008687394642 842.7875658997631 1216323.9887213684 1.2163239887213684e+06 1216331.8083850662 1216336.85546664 7.2898920143488795   
